,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,monthly_downloads,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,cargo_id,github_release_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,maven_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,54,True,214738.0,2119.0,200217.0,69263.0,12247.0,4181.0,62776.0,6742.0,36479.0,1574467.0,7674.0,2013-12-26 13:05:46,2023-01-11 18:21:05.000,2023-01-11 16:14:13,2023-01-11 11:58:09.000,35561438.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,50,True,108248.0,1194.0,98853.0,47995.0,6367.0,1117.0,29767.0,2495.0,12162.0,747654.0,3522.0,2010-12-19 15:16:43,2023-01-11 17:37:00.000,2023-01-11 16:39:11,2022-12-26 02:53:58.302,16122378.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,46,True,62864.0,1490.0,19886.0,20142.0,903.0,5336.0,63609.0,6640.0,6385.0,61285.0,10457.0,2018-02-14 04:26:27,2023-01-11 18:04:13.000,2023-01-11 17:51:40,2023-01-10 21:41:16.621,4772201.333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,46,True,61751.0,3337.0,16377.0,7515.0,1265.0,8856.0,31456.0,1339.0,9416.0,81486.0,2370.0,2016-08-15 09:30:15,2023-01-11 19:10:06.000,2023-01-11 18:41:09,2023-01-11 17:28:38.000,2423202.6666666665,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,44,True,53840.0,1654.0,19776.0,10577.0,1652.0,2091.0,33423.0,2872.0,16521.0,43579.0,2543.0,2010-03-23 17:05:00,2023-01-11 18:04:33.000,2023-01-11 18:00:27,2022-12-20 09:00:52.000,121882.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,43,True,12468.0,757.0,17458.0,16333.0,1100.0,444.0,5903.0,3393.0,3288.0,91923.0,684.0,2017-10-29 05:09:58,2023-01-11 18:06:12.000,2023-01-11 17:57:29,2023-01-11 12:13:35.000,2657578.0,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,41,True,26700.0,645.0,5319.0,2186.0,555.0,583.0,15791.0,1791.0,4945.0,88999.0,1062.0,2018-10-02 22:30:39,2023-01-11 19:04:06.000,2023-01-11 18:34:08,2022-12-12 17:09:08.000,3751520.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,39823.0,527.0,9071.0,2496.0,975.0,714.0,7004.0,1556.0,10040.0,6768.0,715.0,2013-12-21 19:10:25,2023-01-11 17:31:34.000,2023-01-11 15:05:33,2023-01-10 15:03:08.000,210634.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,39,True,23813.0,205.0,8181.0,3519.0,1030.0,764.0,10950.0,1558.0,5464.0,6376.0,850.0,2014-04-23 20:29:36,2023-01-11 17:38:44.000,2023-01-11 17:27:31,2022-12-15 21:14:11.136,503267.3333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,39,True,38456.0,916.0,7833.0,3572.0,1049.0,2025.0,15530.0,1701.0,9794.0,3912.0,1031.0,2017-12-05 18:41:10,2023-01-11 18:17:47.000,2023-01-11 15:57:10,2023-01-10 18:20:01.000,158871.3333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,20812.0,840.0,13312.0,3577.0,1003.0,412.0,8457.0,584.0,5284.0,1757.0,533.0,2017-12-16 02:08:28,2023-01-11 18:35:34.000,2023-01-11 18:25:39,2023-01-03 22:05:04.347,802506.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,38,True,26238.0,3568.0,4594.0,1306.0,736.0,469.0,11370.0,916.0,1506.0,6418.0,767.0,2018-05-11 11:12:10,2023-01-11 18:16:02.000,2023-01-11 17:14:36,2023-01-10 11:38:06.000,115402.66666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,38,True,12925.0,519.0,2956.0,1460.0,269.0,386.0,7150.0,783.0,2601.0,7534.0,582.0,2018-10-09 17:10:16,2023-01-11 18:00:57.000,2023-01-11 16:58:30,2023-01-06 20:22:06.000,504172.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,bnb,BNB - Binance Coin,https://github.com/binance-chain,Digital token of the Binance exchange. It is an exchanging token only for cryptographic forms of money. The name..,exchange-tokens,37,True,18647.0,136.0,11345.0,5541.0,1319.0,268.0,2447.0,537.0,1421.0,928.0,1249.0,2017-10-16 04:17:35,2023-01-11 14:09:00.000,2023-01-10 20:25:24,2023-01-06 19:48:28.000,14344.0,1.0,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,37,True,36466.0,590.0,8412.0,2391.0,1065.0,919.0,15092.0,2139.0,7567.0,1384.0,698.0,2016-07-20 15:44:50,2023-01-11 18:52:52.000,2023-01-11 16:14:33,2023-01-09 11:01:58.000,87323.99999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,37,True,11412.0,363.0,3731.0,1314.0,291.0,311.0,5033.0,748.0,1844.0,29194.0,291.0,2018-04-19 07:13:50,2023-01-11 17:39:28.000,2023-01-10 12:24:43,2023-01-09 12:56:10.000,10164.0,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,37,True,50521.0,2749.0,3379.0,1215.0,633.0,1764.0,8958.0,953.0,2167.0,2047.0,708.0,2020-04-15 21:09:27,2023-01-11 18:18:43.000,2023-01-11 17:45:23,2023-01-06 18:01:21.000,82026.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
